scan_time_utc,recognized_date,symbol,short_name,exchange,full_exchange_name,contract_kind,signal,signal_type,side,class,signal_date,signal_bar_age,price,latest_close,trend,bars,bis,bi_zhongshus,reason,beichi_ratio,ref_zs_idx,ref_zs_zd,ref_zs_zg,ref_zs_raw_start,ref_zs_raw_end,chart_path
2026-09-10T01:20:10Z,2026-09-10,CNH=F,Standard-Size USD/Offshore RMB,,,continuous,1B,BUY1,BUY,1,2026-09-04,3,6.7020001,6.7049999,CONSOLIDATION,1207,69,12,下跌趋势背驰(后笔绿柱面积更小),0.0786226,,,,,,data/futures_latest_signals/2026-09-10/charts/chan_CNH_F.png
2026-09-10T01:20:10Z,2026-09-10,ZO=F,"Oat Futures,Jul-2026",,,continuous,1S,SELL1,SELL,1,2026-09-09,1,375.25,368.25,CONSOLIDATION,1256,88,13,上涨趋势背驰(后笔红柱面积更小),0.880769,,,,,,data/futures_latest_signals/2026-09-10/charts/chan_ZO_F.png
2026-09-10T01:20:10Z,2026-09-10,ZR=F,"Rough Rice Futures,Jul-2026",,,continuous,3S,SELL3,SELL,3,2026-09-09,1,16.065001,15.975,CONSOLIDATION,1256,80,10,"向下跌破中枢后反抽不回中枢(ZS8, price<ZD=1046)",,8,1046.5,1056,984,1195,data/futures_latest_signals/2026-09-10/charts/chan_ZR_F.png
2026-09-10T01:20:10Z,2026-09-10,ZS=F,"Soybean Futures,Jul-2026",,,continuous,1S,SELL1,SELL,1,2026-09-09,1,1318.5,1308.25,CONSOLIDATION,1256,66,10,上涨趋势背驰(后笔红柱面积更小),0.888078,,,,,,data/futures_latest_signals/2026-09-10/charts/chan_ZS_F.png
