scan_time_utc,recognized_date,symbol,short_name,exchange,full_exchange_name,contract_kind,signal,signal_type,side,class,signal_date,signal_bar_age,price,latest_close,trend,bars,bis,bi_zhongshus,reason,beichi_ratio,ref_zs_idx,ref_zs_zd,ref_zs_zg,ref_zs_raw_start,ref_zs_raw_end,chart_path
2026-09-12T01:25:12Z,2026-09-11,MYM=F,Micro E-mini Dow Jones Industri,,,continuous,3B,BUY3,BUY,3,2026-09-10,1,51992,52575,CONSOLIDATION,1260,70,10,"向上突破中枢后回抽不回中枢(ZS8, price>ZG=4.853e+04)",,8,48488,48528,1050,1212,data/futures_latest_signals/2026-09-12/charts/chan_MYM_F.png
2026-09-12T01:25:12Z,2026-09-11,YM=F,Mini Dow Jones Indus.-$5 Jun 26,,,continuous,3B,BUY3,BUY,3,2026-09-10,1,51992,52576,CONSOLIDATION,1260,72,10,"向上突破中枢后回抽不回中枢(ZS8, price>ZG=4.853e+04)",,8,48488,48528,1050,1212,data/futures_latest_signals/2026-09-12/charts/chan_YM_F.png
2026-09-12T01:25:12Z,2026-09-12,ETH=F,Ethereum Jun 26,,,continuous,3B,BUY3,BUY,3,2026-09-10,2,2409.5,2521,CONSOLIDATION,1265,79,13,"向上突破中枢后回抽不回中枢(ZS12, price>ZG=1780)",,12,1542,1779.5,1190,1228,data/futures_latest_signals/2026-09-12/charts/chan_ETH_F.png
