scan_time_utc,recognized_date,symbol,short_name,exchange,full_exchange_name,contract_kind,signal,signal_type,side,class,signal_date,signal_bar_age,price,latest_close,trend,bars,bis,bi_zhongshus,reason,beichi_ratio,ref_zs_idx,ref_zs_zd,ref_zs_zg,ref_zs_raw_start,ref_zs_raw_end,chart_path
2026-08-13T00:08:47Z,2026-08-11,588000.SS,科创50ETF(华夏·跟踪科创50),,,other,2S,SELL2,SELL,2,2026-08-10,1,1.851,1.806,CONSOLIDATION,1210,68,10,一卖后首次反抽不破前高,,,,,,,data/futures_latest_signals/2026-08-13/charts/chan_588000_SS.png
2026-08-13T00:08:47Z,2026-08-12,000300.SS,沪深300,,,other,2S,SELL2,SELL,2,2026-08-11,1,4715.8813,4690.9165,CONSOLIDATION,1201,71,8,一卖后首次反抽不破前高,,,,,,,data/futures_latest_signals/2026-08-13/charts/chan_000300_SS.png
2026-08-13T00:08:47Z,2026-08-12,6J=F,"Japanese Yen Futures,Jun-2026",,,continuous,2B,BUY2,BUY,2,2026-08-11,1,0.0062779998,0.0062910002,CONSOLIDATION,1260,67,11,一买后首次回抽不破前低,,,,,,,data/futures_latest_signals/2026-08-13/charts/chan_6J_F.png
