scan_time_utc,recognized_date,symbol,short_name,exchange,full_exchange_name,contract_kind,signal,signal_type,side,class,signal_date,signal_bar_age,price,latest_close,trend,bars,bis,bi_zhongshus,reason,beichi_ratio,ref_zs_idx,ref_zs_zd,ref_zs_zg,ref_zs_raw_start,ref_zs_raw_end,chart_path
2026-08-24T23:49:05Z,2026-08-24,CT=F,Cotton Mar 26,,,continuous,1S,SELL1,SELL,1,2026-08-21,1,87.620003,88.010002,CONSOLIDATION,1258,78,9,上涨趋势背驰(后笔红柱面积更小),0.683111,,,,,,data/futures_latest_signals/2026-08-24/charts/chan_CT_F.png
2026-08-24T23:49:05Z,2026-08-24,HO=F,Heating Oil Jul 26,,,continuous,1S,SELL1,SELL,1,2026-08-21,1,4.5563002,4.1887999,CONSOLIDATION,1260,74,11,上涨趋势背驰(后笔红柱面积更小),0.0908322,,,,,,data/futures_latest_signals/2026-08-24/charts/chan_HO_F.png
2026-08-24T23:49:05Z,2026-08-24,MYM=F,Micro E-mini Dow Jones Industri,,,continuous,3B,BUY3,BUY,3,2026-08-20,2,52812,53498,CONSOLIDATION,1260,70,10,"向上突破中枢后回抽不回中枢(ZS8, price>ZG=4.853e+04)",,8,48488,48528,1063,1225,data/futures_latest_signals/2026-08-24/charts/chan_MYM_F.png
2026-08-24T23:49:05Z,2026-08-24,SIL=F,"Micro Silver Futures,Jul-2026",,,continuous,2S,SELL2,SELL,2,2026-08-21,1,69.466003,69.394997,CONSOLIDATION,1259,87,13,一卖后首次反抽不破前高,,,,,,,data/futures_latest_signals/2026-08-24/charts/chan_SIL_F.png
2026-08-24T23:49:05Z,2026-08-24,YM=F,Mini Dow Jones Indus.-$5 Jun 26,,,continuous,3B,BUY3,BUY,3,2026-08-20,2,52812,53496,CONSOLIDATION,1260,72,10,"向上突破中枢后回抽不回中枢(ZS8, price>ZG=4.853e+04)",,8,48488,48528,1063,1225,data/futures_latest_signals/2026-08-24/charts/chan_YM_F.png
