scan_time_utc,recognized_date,symbol,short_name,exchange,full_exchange_name,contract_kind,signal,signal_type,side,class,signal_date,signal_bar_age,price,latest_close,trend,bars,bis,bi_zhongshus,reason,beichi_ratio,ref_zs_idx,ref_zs_zd,ref_zs_zg,ref_zs_raw_start,ref_zs_raw_end,chart_path
2026-08-20T23:51:45Z,2026-08-19,159915.SZ,创业板ETF(易方达·跟踪创业板指),,,other,2S,SELL2,SELL,2,2026-08-18,1,3.767,3.4979999,CONSOLIDATION,1210,77,12,一卖后首次反抽不破前高,,,,,,,data/futures_latest_signals/2026-08-20/charts/chan_159915_SZ.png
2026-08-20T23:51:45Z,2026-08-19,399001.SZ,深证成指,,,other,2S,SELL2,SELL,2,2026-08-18,1,14733.9,13890.15,CONSOLIDATION,1211,75,12,一卖后首次反抽不破前高,,,,,,,data/futures_latest_signals/2026-08-20/charts/chan_399001_SZ.png
2026-08-20T23:51:45Z,2026-08-19,510500.SS,中证500ETF(南方·跟踪中证500),,,other,2S,SELL2,SELL,2,2026-08-18,1,8.2229996,7.8039999,CONSOLIDATION,1210,79,12,一卖后首次反抽不破前高,,,,,,,data/futures_latest_signals/2026-08-20/charts/chan_510500_SS.png
2026-08-20T23:51:45Z,2026-08-19,512100.SS,中证1000ETF(南方·跟踪中证1000),,,other,2S,SELL2,SELL,2,2026-08-18,1,3.2349999,3.0480001,CONSOLIDATION,1210,66,11,一卖后首次反抽不破前高,,,,,,,data/futures_latest_signals/2026-08-20/charts/chan_512100_SS.png
2026-08-20T23:51:45Z,2026-08-19,588000.SS,科创50ETF(华夏·跟踪科创50),,,other,2S,SELL2,SELL,2,2026-08-18,1,1.899,1.761,CONSOLIDATION,1210,66,9,一卖后首次反抽不破前高,,,,,,,data/futures_latest_signals/2026-08-20/charts/chan_588000_SS.png
2026-08-20T23:51:45Z,2026-08-20,CNH=F,Standard-Size USD/Offshore RMB,,,continuous,3S,SELL3,SELL,3,2026-08-19,1,6.7364998,6.7150002,CONSOLIDATION,1207,71,13,"向下跌破中枢后反抽不回中枢(ZS11, price<ZD=6.922)",,11,6.9219999,6.9305,1060,1168,data/futures_latest_signals/2026-08-20/charts/chan_CNH_F.png
2026-08-20T23:51:45Z,2026-08-20,CT=F,Cotton Mar 26,,,continuous,1S,SELL1,SELL,1,2026-08-19,1,86.620003,88.589996,CONSOLIDATION,1258,78,9,上涨趋势背驰(后笔红柱面积更小),0.543649,,,,,,data/futures_latest_signals/2026-08-20/charts/chan_CT_F.png
