scan_time_utc,recognized_date,symbol,short_name,exchange,full_exchange_name,contract_kind,signal,signal_type,side,class,signal_date,signal_bar_age,price,latest_close,trend,bars,bis,bi_zhongshus,reason,beichi_ratio,ref_zs_idx,ref_zs_zd,ref_zs_zg,ref_zs_raw_start,ref_zs_raw_end,chart_path
2026-07-17T01:03:40Z,2026-07-15,159915.SZ,创业板ETF(易方达·跟踪创业板指),,,other,3B,BUY3,BUY,3,2026-07-14,1,3.6930001,3.8280001,CONSOLIDATION,1210,78,12,"向上突破中枢后回抽不回中枢(ZS10, price>ZG=3.402)",,10,3.125,3.402,1089,1180,data/futures_latest_signals/2026-07-17/charts/chan_159915_SZ.png
2026-07-17T01:03:40Z,2026-07-15,588000.SS,科创50ETF(华夏·跟踪科创50),,,other,3B,BUY3,BUY,3,2026-07-14,1,1.998,2.0280001,CONSOLIDATION,1210,68,10,"向上突破中枢后回抽不回中枢(ZS8, price>ZG=1.475)",,8,1.425,1.475,1024,1175,data/futures_latest_signals/2026-07-17/charts/chan_588000_SS.png
2026-07-17T01:03:40Z,2026-07-16,LBR=F,"Lumber Futures,Jul-2026",,,continuous,3B,BUY3,BUY,3,2026-07-15,1,602.5,634.5,CONSOLIDATION,990,59,10,"向上突破中枢后回抽不回中枢(ZS8, price>ZG=596)",,8,584.5,596,868,972,data/futures_latest_signals/2026-07-17/charts/chan_LBR_F.png
2026-07-17T01:03:40Z,2026-07-17,ETH=F,Ethereum Jun 26,,,continuous,3S,SELL3,SELL,3,2026-07-15,2,1950,1864,CONSOLIDATION,1262,77,13,"向下跌破中枢后反抽不回中枢(ZS11, price<ZD=2227)",,11,2227,2390,1147,1229,data/futures_latest_signals/2026-07-17/charts/chan_ETH_F.png
2026-07-17T01:03:40Z,2026-07-17,HG=F,Copper Jul 26,,,continuous,2S,SELL2,SELL,2,2026-07-16,1,6.3934999,6.2880001,CONSOLIDATION,1260,84,12,一卖后首次反抽不破前高,,,,,,,data/futures_latest_signals/2026-07-17/charts/chan_HG_F.png
2026-07-17T01:03:40Z,2026-07-17,PA=F,Palladium Sep 26,,,continuous,3S,SELL3,SELL,3,2026-07-16,1,1323,1255.5,CONSOLIDATION,1258,110,16,"向下跌破中枢后反抽不回中枢(ZS14, price<ZD=1461)",,14,1461.1,1546,1178,1228,data/futures_latest_signals/2026-07-17/charts/chan_PA_F.png
2026-07-17T01:03:40Z,2026-07-17,ZC=F,"Corn Futures,Jul-2026",,,continuous,2S,SELL2,SELL,2,2026-07-16,1,470.5,464.75,CONSOLIDATION,1256,76,12,一卖后首次反抽不破前高,,,,,,,data/futures_latest_signals/2026-07-17/charts/chan_ZC_F.png
