scan_time_utc,recognized_date,symbol,short_name,exchange,full_exchange_name,contract_kind,signal,signal_type,side,class,signal_date,signal_bar_age,price,latest_close,trend,bars,bis,bi_zhongshus,reason,beichi_ratio,ref_zs_idx,ref_zs_zd,ref_zs_zg,ref_zs_raw_start,ref_zs_raw_end,chart_path
2026-09-23T01:42:25Z,2026-09-23,CNH=F,Standard-Size USD/Offshore RMB,,,continuous,1B,BUY1,BUY,1,2026-09-22,1,6.6479998,6.6564999,CONSOLIDATION,1205,68,12,下跌趋势背驰(后笔绿柱面积更小),0.307761,,,,,,data/futures_latest_signals/2026-09-23/charts/chan_CNH_F.png
2026-09-23T01:42:25Z,2026-09-23,KE=F,"KC HRW Wheat Futures,Jul-2026",,,continuous,2S,SELL2,SELL,2,2026-09-21,2,800,777.5,CONSOLIDATION,1256,86,11,一卖后首次反抽不破前高,,,,,,,data/futures_latest_signals/2026-09-23/charts/chan_KE_F.png
2026-09-23T01:42:25Z,2026-09-23,ZR=F,"Rough Rice Futures,Jul-2026",,,continuous,3S,SELL3,SELL,3,2026-09-21,2,16.115,16.014999,CONSOLIDATION,1256,80,10,"向下跌破中枢后反抽不回中枢(ZS8, price<ZD=1046)",,8,1046.5,1056,975,1186,data/futures_latest_signals/2026-09-23/charts/chan_ZR_F.png
