scan_time_utc,recognized_date,symbol,short_name,exchange,full_exchange_name,contract_kind,signal,signal_type,side,class,signal_date,signal_bar_age,price,latest_close,trend,bars,bis,bi_zhongshus,reason,beichi_ratio,ref_zs_idx,ref_zs_zd,ref_zs_zg,ref_zs_raw_start,ref_zs_raw_end,chart_path
2026-06-13T01:39:16Z,2026-06-12,CC=F,Cocoa Sep 26,,,continuous,3B,BUY3,BUY,3,2026-06-11,1,3694,3886,CONSOLIDATION,1258,98,12,"向上突破中枢后回抽不回中枢(ZS10, price>ZG=3422)",,10,3244,3422,1170,1234,data/futures_latest_signals/2026-06-13/charts/chan_CC_F.png
2026-06-13T01:39:16Z,2026-06-12,CT=F,Cotton Mar 26,,,continuous,3B,BUY3,BUY,3,2026-06-11,1,70.919998,76.339996,CONSOLIDATION,1259,76,8,"向上突破中枢后回抽不回中枢(ZS7, price>ZG=64.8)",,7,64.459999,64.800003,1062,1197,data/futures_latest_signals/2026-06-13/charts/chan_CT_F.png
2026-06-13T01:39:16Z,2026-06-12,GC=F,Gold Aug 26,,,continuous,1B,BUY1,BUY,1,2026-06-11,1,4031,4239.8999,CONSOLIDATION,1258,83,14,下跌趋势背驰(后笔绿柱面积更小),0.642662,,,,,,data/futures_latest_signals/2026-06-13/charts/chan_GC_F.png
2026-06-13T01:39:16Z,2026-06-12,HE=F,"Lean Hog Futures,Jul-2026",,,continuous,3B,BUY3,BUY,3,2026-06-11,1,92.75,96.224998,CONSOLIDATION,1257,88,15,"向上突破中枢后回抽不回中枢(ZS13, price>ZG=89.15)",,13,88.599998,89.150002,1052,1186,data/futures_latest_signals/2026-06-13/charts/chan_HE_F.png
2026-06-13T01:39:16Z,2026-06-12,META,Meta,,,other,1B,BUY1,BUY,1,2026-06-11,1,557.01001,566.97998,CONSOLIDATION,1256,75,12,下跌趋势背驰(后笔绿柱面积更小),0.227326,,,,,,data/futures_latest_signals/2026-06-13/charts/chan_META.png
2026-06-13T01:39:16Z,2026-06-12,MGC=F,"Micro Gold Futures,Aug-2026",,,continuous,1B,BUY1,BUY,1,2026-06-11,1,4047.8999,4240.2998,CONSOLIDATION,1259,80,13,下跌趋势背驰(后笔绿柱面积更小),0.760544,,,,,,data/futures_latest_signals/2026-06-13/charts/chan_MGC_F.png
2026-06-13T01:39:16Z,2026-06-12,NVDA,NVIDIA 英伟达,,,other,3B,BUY3,BUY,3,2026-06-09,3,199.34,205.19,CONSOLIDATION,1256,82,15,"向上突破中枢后回抽不回中枢(ZS13, price>ZG=183.9)",,13,177.61,183.88,1042,1222,data/futures_latest_signals/2026-06-13/charts/chan_NVDA.png
2026-06-13T01:39:16Z,2026-06-12,ZQ=F,"30 Day Federal Funds Futures,Au",,,continuous,1S,SELL1,SELL,1,2026-06-04,6,96.3825,96.355003,DOWN,1259,9,2,上涨趋势背驰(后笔红柱面积更小),0.729721,,,,,,data/futures_latest_signals/2026-06-13/charts/chan_ZQ_F.png
