scan_time_utc,recognized_date,symbol,short_name,exchange,full_exchange_name,contract_kind,signal,signal_type,side,class,signal_date,signal_bar_age,price,latest_close,trend,bars,bis,bi_zhongshus,reason,beichi_ratio,ref_zs_idx,ref_zs_zd,ref_zs_zg,ref_zs_raw_start,ref_zs_raw_end,chart_path
2026-08-07T01:52:40Z,2026-08-07,6E=F,"Euro FX Futures,Jun-2026",,,continuous,3S,SELL3,SELL,3,2026-08-06,1,1.1575,1.154,CONSOLIDATION,1259,73,12,"向下跌破中枢后反抽不回中枢(ZS10, price<ZD=1.166)",,10,1.1665,1.1803,1179,1226,data/futures_latest_signals/2026-08-07/charts/chan_6E_F.png
2026-08-07T01:52:40Z,2026-08-07,CNH=F,Standard-Size USD/Offshore RMB,,,continuous,1B,BUY1,BUY,1,2026-08-05,2,6.7129998,6.7315001,CONSOLIDATION,1207,71,13,下跌趋势背驰(后笔绿柱面积更小),0.00866554,,,,,,data/futures_latest_signals/2026-08-07/charts/chan_CNH_F.png
2026-08-07T01:52:40Z,2026-08-07,GC=F,Gold Aug 26,,,continuous,3S,SELL3,SELL,3,2026-08-06,1,4350.2998,4308.1001,CONSOLIDATION,1259,82,15,"向下跌破中枢后反抽不回中枢(ZS13, price<ZD=4655)",,13,4655,4851,1125,1230,data/futures_latest_signals/2026-08-07/charts/chan_GC_F.png
2026-08-07T01:52:40Z,2026-08-07,M2K=F,Micro E-mini Russell 2000 Index,,,continuous,2S,SELL2,SELL,2,2026-08-05,2,3058.3,3003.8,CONSOLIDATION,1260,86,14,一卖后首次反抽不破前高,,,,,,,data/futures_latest_signals/2026-08-07/charts/chan_M2K_F.png
2026-08-07T01:52:40Z,2026-08-07,MYM=F,Micro E-mini Dow Jones Industri,,,continuous,1S,SELL1,SELL,1,2026-08-05,2,54885,53931,CONSOLIDATION,1260,70,9,上涨趋势背驰(后笔红柱面积更小),0.0443999,,,,,,data/futures_latest_signals/2026-08-07/charts/chan_MYM_F.png
2026-08-07T01:52:40Z,2026-08-07,RTY=F,E-mini Russell 2000 Index Futur,,,continuous,2S,SELL2,SELL,2,2026-08-05,2,3058.3,3004.2,CONSOLIDATION,1260,84,14,一卖后首次反抽不破前高,,,,,,,data/futures_latest_signals/2026-08-07/charts/chan_RTY_F.png
2026-08-07T01:52:40Z,2026-08-07,SI=F,Silver Jul 26,,,continuous,2S,SELL2,SELL,2,2026-08-06,1,62.595001,62.189999,CONSOLIDATION,1259,84,10,一卖后首次反抽不破前高,,,,,,,data/futures_latest_signals/2026-08-07/charts/chan_SI_F.png
2026-08-07T01:52:40Z,2026-08-07,SIL=F,"Micro Silver Futures,Jul-2026",,,continuous,2S,SELL2,SELL,2,2026-08-06,1,62.595001,62.189999,CONSOLIDATION,1259,89,13,一卖后首次反抽不破前高,,,,,,,data/futures_latest_signals/2026-08-07/charts/chan_SIL_F.png
2026-08-07T01:52:40Z,2026-08-07,YM=F,Mini Dow Jones Indus.-$5 Jun 26,,,continuous,1S,SELL1,SELL,1,2026-08-05,2,54884,53933,CONSOLIDATION,1260,72,9,上涨趋势背驰(后笔红柱面积更小),0.0443974,,,,,,data/futures_latest_signals/2026-08-07/charts/chan_YM_F.png
