scan_time_utc,recognized_date,symbol,short_name,exchange,full_exchange_name,contract_kind,signal,signal_type,side,class,signal_date,signal_bar_age,price,latest_close,trend,bars,bis,bi_zhongshus,reason,beichi_ratio,ref_zs_idx,ref_zs_zd,ref_zs_zg,ref_zs_raw_start,ref_zs_raw_end,chart_path
2026-07-09T01:10:54Z,2026-07-08,MSFT,Microsoft 微软,,,other,2S,SELL2,SELL,2,2026-07-07,1,395.57001,383.34,CONSOLIDATION,1255,74,10,一卖后首次反抽不破前高,,,,,,,data/futures_latest_signals/2026-07-09/charts/chan_MSFT.png
2026-07-09T01:10:54Z,2026-07-09,ETH=F,Ethereum Jun 26,,,continuous,3S,SELL3,SELL,3,2026-07-06,3,1829.5,1742.5,CONSOLIDATION,1261,77,13,"向下跌破中枢后反抽不回中枢(ZS11, price<ZD=2227)",,11,2227,2390,1153,1235,data/futures_latest_signals/2026-07-09/charts/chan_ETH_F.png
2026-07-09T01:10:54Z,2026-07-09,NKD=F,"Nikkei/USD Futures,Jun-2026",,,continuous,3B,BUY3,BUY,3,2026-07-08,1,67170,68195,CONSOLIDATION,1260,85,8,"向上突破中枢后回抽不回中枢(ZS7, price>ZG=5.466e+04)",,7,52300,54660,1137,1220,data/futures_latest_signals/2026-07-09/charts/chan_NKD_F.png
2026-07-09T01:10:54Z,2026-07-09,PL=F,Platinum Jul 26,,,continuous,2S,SELL2,SELL,2,2026-07-08,1,1653,1595.2,CONSOLIDATION,1259,102,12,一卖后首次反抽不破前高,,,,,,,data/futures_latest_signals/2026-07-09/charts/chan_PL_F.png
2026-07-09T01:10:54Z,2026-07-09,ZC=F,"Corn Futures,Jul-2026",,,continuous,2S,SELL2,SELL,2,2026-07-08,1,463.75,453.75,CONSOLIDATION,1256,76,12,一卖后首次反抽不破前高,,,,,,,data/futures_latest_signals/2026-07-09/charts/chan_ZC_F.png
