scan_time_utc,recognized_date,symbol,short_name,exchange,full_exchange_name,contract_kind,signal,signal_type,side,class,signal_date,signal_bar_age,price,latest_close,trend,bars,bis,bi_zhongshus,reason,beichi_ratio,ref_zs_idx,ref_zs_zd,ref_zs_zg,ref_zs_raw_start,ref_zs_raw_end,chart_path
2026-09-24T01:37:03Z,2026-09-23,AAPL,Apple 苹果,,,other,1S,SELL1,SELL,1,2026-09-22,1,345.34,337.01999,CONSOLIDATION,1255,79,12,上涨趋势背驰(后笔红柱面积更小),0.634355,,,,,,data/futures_latest_signals/2026-09-24/charts/chan_AAPL.png
2026-09-24T01:37:03Z,2026-09-23,CC=F,Cocoa Sep 26,,,continuous,3B,BUY3,BUY,3,2026-09-22,1,5111,5519,CONSOLIDATION,1257,102,14,"向上突破中枢后回抽不回中枢(ZS12, price>ZG=5100)",,12,4992,5100,1194,1222,data/futures_latest_signals/2026-09-24/charts/chan_CC_F.png
2026-09-24T01:37:03Z,2026-09-24,6J=F,"Japanese Yen Futures,Jun-2026",,,continuous,2B,BUY2,BUY,2,2026-09-23,1,0.0063260002,0.0063740001,CONSOLIDATION,1260,64,10,一买后首次回抽不破前低,,,,,,,data/futures_latest_signals/2026-09-24/charts/chan_6J_F.png
2026-09-24T01:37:03Z,2026-09-24,MNQ=F,Micro E-mini Nasdaq-100 Index F,,,continuous,1S,SELL1,SELL,1,2026-09-23,1,31075.75,30742,CONSOLIDATION,1260,63,10,上涨趋势背驰(后笔红柱面积更小),0.535658,,,,,,data/futures_latest_signals/2026-09-24/charts/chan_MNQ_F.png
2026-09-24T01:37:03Z,2026-09-24,NQ=F,Nasdaq 100 Jun 26,,,continuous,1S,SELL1,SELL,1,2026-09-23,1,31070.5,30741.5,CONSOLIDATION,1260,65,10,上涨趋势背驰(后笔红柱面积更小),0.535654,,,,,,data/futures_latest_signals/2026-09-24/charts/chan_NQ_F.png
2026-09-24T01:37:03Z,2026-09-24,SIL=F,"Micro Silver Futures,Jul-2026",,,continuous,3S,SELL3,SELL,3,2026-09-23,1,68.059998,64.699997,CONSOLIDATION,1259,88,14,"向下跌破中枢后反抽不回中枢(ZS12, price<ZD=72.45)",,12,72.449997,82.93,1092,1210,data/futures_latest_signals/2026-09-24/charts/chan_SIL_F.png
