scan_time_utc,recognized_date,symbol,short_name,exchange,full_exchange_name,contract_kind,signal,signal_type,side,class,signal_date,signal_bar_age,price,latest_close,trend,bars,bis,bi_zhongshus,reason,beichi_ratio,ref_zs_idx,ref_zs_zd,ref_zs_zg,ref_zs_raw_start,ref_zs_raw_end,chart_path
2026-06-06T01:30:24Z,2026-06-05,CT=F,Cotton Mar 26,,,continuous,3B,BUY3,BUY,3,2026-06-04,1,74.279999,74.57,CONSOLIDATION,1259,77,8,"向上突破中枢后回抽不回中枢(ZS7, price>ZG=64.8)",,7,64.459999,64.800003,1067,1202,data/futures_latest_signals/2026-06-06/charts/chan_CT_F.png
2026-06-06T01:30:24Z,2026-06-05,NKD=F,"Nikkei/USD Futures,Jun-2026",,,continuous,1S,SELL1,SELL,1,2026-06-03,2,68790,63820,CONSOLIDATION,1259,83,8,上涨趋势背驰(后笔红柱面积更小),0.170298,,,,,,data/futures_latest_signals/2026-06-06/charts/chan_NKD_F.png
2026-06-06T01:30:24Z,2026-06-05,ZQ=F,"30 Day Federal Funds Futures,Au",,,continuous,1S,SELL1,SELL,1,2026-06-04,1,96.3825,96.345001,DOWN,1259,10,2,上涨趋势背驰(后笔红柱面积更小),0.729721,,,,,,data/futures_latest_signals/2026-06-06/charts/chan_ZQ_F.png
