scan_time_utc,recognized_date,symbol,short_name,exchange,full_exchange_name,contract_kind,signal,signal_type,side,class,signal_date,signal_bar_age,price,latest_close,trend,bars,bis,bi_zhongshus,reason,beichi_ratio,ref_zs_idx,ref_zs_zd,ref_zs_zg,ref_zs_raw_start,ref_zs_raw_end,chart_path
2026-08-01T01:05:00Z,2026-07-31,M2K=F,Micro E-mini Russell 2000 Index,,,continuous,3B,BUY3,BUY,3,2026-07-29,2,2902.3,2928.3999,CONSOLIDATION,1260,86,14,"向上突破中枢后回抽不回中枢(ZS12, price>ZG=2696)",,12,2566.7,2696,1126,1198,data/futures_latest_signals/2026-08-01/charts/chan_M2K_F.png
2026-08-01T01:05:00Z,2026-07-31,PA=F,Palladium Sep 26,,,continuous,2B,BUY2,BUY,2,2026-07-30,1,1244.5,1278,CONSOLIDATION,1258,110,16,一买后首次回抽不破前低,,,,,,,data/futures_latest_signals/2026-08-01/charts/chan_PA_F.png
2026-08-01T01:05:00Z,2026-07-31,RTY=F,E-mini Russell 2000 Index Futur,,,continuous,3B,BUY3,BUY,3,2026-07-29,2,2902.3,2928.3999,CONSOLIDATION,1260,84,14,"向上突破中枢后回抽不回中枢(ZS12, price>ZG=2696)",,12,2566.8,2696,1126,1198,data/futures_latest_signals/2026-08-01/charts/chan_RTY_F.png
