scan_time_utc,recognized_date,symbol,short_name,exchange,full_exchange_name,contract_kind,signal,signal_type,side,class,signal_date,signal_bar_age,price,latest_close,trend,bars,bis,bi_zhongshus,reason,beichi_ratio,ref_zs_idx,ref_zs_zd,ref_zs_zg,ref_zs_raw_start,ref_zs_raw_end,chart_path
2026-09-16T01:34:44Z,2026-09-15,GF=F,"Feeder Cattle Futures,Aug-2026",,,continuous,3S,SELL3,SELL,3,2026-09-14,1,343.97501,333.67499,CONSOLIDATION,1256,77,11,"向下跌破中枢后反抽不回中枢(ZS9, price<ZD=364.5)",,9,364.5,366.47501,983,1220,data/futures_latest_signals/2026-09-16/charts/chan_GF_F.png
2026-09-16T01:34:44Z,2026-09-16,CNH=F,Standard-Size USD/Offshore RMB,,,continuous,1B,BUY1,BUY,1,2026-09-15,1,6.6645002,6.6690001,CONSOLIDATION,1206,69,12,下跌趋势背驰(后笔绿柱面积更小),0.101693,,,,,,data/futures_latest_signals/2026-09-16/charts/chan_CNH_F.png
2026-09-16T01:34:44Z,2026-09-16,ZR=F,"Rough Rice Futures,Jul-2026",,,continuous,3S,SELL3,SELL,3,2026-09-15,1,15.985,15.795,CONSOLIDATION,1256,80,10,"向下跌破中枢后反抽不回中枢(ZS8, price<ZD=1046)",,8,1046.5,1056,980,1191,data/futures_latest_signals/2026-09-16/charts/chan_ZR_F.png
