scan_time_utc,recognized_date,symbol,short_name,exchange,full_exchange_name,contract_kind,signal,signal_type,side,class,signal_date,signal_bar_age,price,latest_close,trend,bars,bis,bi_zhongshus,reason,beichi_ratio,ref_zs_idx,ref_zs_zd,ref_zs_zg,ref_zs_raw_start,ref_zs_raw_end,chart_path
2026-08-14T23:49:57Z,2026-08-14,000300.SS,沪深300,,,other,2S,SELL2,SELL,2,2026-08-13,1,4727.2344,4665.8813,CONSOLIDATION,1201,71,8,一卖后首次反抽不破前高,,,,,,,data/futures_latest_signals/2026-08-14/charts/chan_000300_SS.png
2026-08-14T23:49:57Z,2026-08-14,6J=F,"Japanese Yen Futures,Jun-2026",,,continuous,2B,BUY2,BUY,2,2026-08-13,1,0.006269,0.0062914998,CONSOLIDATION,1260,66,11,一买后首次回抽不破前低,,,,,,,data/futures_latest_signals/2026-08-14/charts/chan_6J_F.png
2026-08-14T23:49:57Z,2026-08-14,M2K=F,Micro E-mini Russell 2000 Index,,,continuous,1S,SELL1,SELL,1,2026-08-13,1,3078.2,3072.7,CONSOLIDATION,1260,85,14,上涨趋势背驰(后笔红柱面积更小),0.756985,,,,,,data/futures_latest_signals/2026-08-14/charts/chan_M2K_F.png
