scan_time_utc,recognized_date,symbol,short_name,exchange,full_exchange_name,contract_kind,signal,signal_type,side,class,signal_date,signal_bar_age,price,latest_close,trend,bars,bis,bi_zhongshus,reason,beichi_ratio,ref_zs_idx,ref_zs_zd,ref_zs_zg,ref_zs_raw_start,ref_zs_raw_end,chart_path
2026-07-16T00:57:35Z,2026-07-15,LBR=F,"Lumber Futures,Jul-2026",,,continuous,3B,BUY3,BUY,3,2026-07-14,1,615,629,CONSOLIDATION,989,59,10,"向上突破中枢后回抽不回中枢(ZS8, price>ZG=596)",,8,584.5,596,868,972,data/futures_latest_signals/2026-07-16/charts/chan_LBR_F.png
2026-07-16T00:57:35Z,2026-07-15,OJ=F,Orange Juice Jul 26,,,continuous,1B,BUY1,BUY,1,2026-07-14,1,134.95,140.45,CONSOLIDATION,1258,92,10,下跌趋势背驰(后笔绿柱面积更小),0.513754,,,,,,data/futures_latest_signals/2026-07-16/charts/chan_OJ_F.png
2026-07-16T00:57:35Z,2026-07-16,M2K=F,Micro E-mini Russell 2000 Index,,,continuous,3B,BUY3,BUY,3,2026-07-14,2,2956.1001,2993.3,CONSOLIDATION,1260,86,13,"向上突破中枢后回抽不回中枢(ZS12, price>ZG=2696)",,12,2566.7,2696,1137,1209,data/futures_latest_signals/2026-07-16/charts/chan_M2K_F.png
2026-07-16T00:57:35Z,2026-07-16,NKD=F,"Nikkei/USD Futures,Jun-2026",,,continuous,2S,SELL2,SELL,2,2026-07-15,1,68925,66710,CONSOLIDATION,1260,85,9,一卖后首次反抽不破前高,,,,,,,data/futures_latest_signals/2026-07-16/charts/chan_NKD_F.png
2026-07-16T00:57:35Z,2026-07-16,RTY=F,E-mini Russell 2000 Index Futur,,,continuous,3B,BUY3,BUY,3,2026-07-14,2,2956.2,2993.3,CONSOLIDATION,1260,84,13,"向上突破中枢后回抽不回中枢(ZS12, price>ZG=2696)",,12,2566.8,2696,1137,1209,data/futures_latest_signals/2026-07-16/charts/chan_RTY_F.png
2026-07-16T00:57:35Z,2026-07-16,SI=F,Silver Jul 26,,,continuous,2S,SELL2,SELL,2,2026-07-14,2,59.605,57.970001,CONSOLIDATION,1259,85,10,一卖后首次反抽不破前高,,,,,,,data/futures_latest_signals/2026-07-16/charts/chan_SI_F.png
2026-07-16T00:57:35Z,2026-07-16,ZN=F,"10-Year T-Note Futures,Sep-2026",,,continuous,1B,BUY1,BUY,1,2026-07-14,2,108.53125,109.17188,CONSOLIDATION,1260,75,13,下跌趋势背驰(后笔绿柱面积更小),0.425981,,,,,,data/futures_latest_signals/2026-07-16/charts/chan_ZN_F.png
