scan_time_utc,recognized_date,symbol,short_name,exchange,full_exchange_name,contract_kind,signal,signal_type,side,class,signal_date,signal_bar_age,price,latest_close,trend,bars,bis,bi_zhongshus,reason,beichi_ratio,ref_zs_idx,ref_zs_zd,ref_zs_zg,ref_zs_raw_start,ref_zs_raw_end,chart_path
2026-09-25T01:46:42Z,2026-09-23,159915.SZ,创业板ETF(易方达·跟踪创业板指),,,other,3S,SELL3,SELL,3,2026-09-22,1,3.493,3.3989999,CONSOLIDATION,1212,78,13,"向下跌破中枢后反抽不回中枢(ZS11, price<ZD=3.77)",,11,3.77,4.23,1132,1172,data/futures_latest_signals/2026-09-25/charts/chan_159915_SZ.png
2026-09-25T01:46:42Z,2026-09-24,000001.SS,上证综指,,,other,3S,SELL3,SELL,3,2026-09-23,1,3951.5229,3888.374,CONSOLIDATION,1212,71,13,"向下跌破中枢后反抽不回中枢(ZS11, price<ZD=4003)",,11,4002.782,4175.3481,1042,1164,data/futures_latest_signals/2026-09-25/charts/chan_000001_SS.png
2026-09-25T01:46:42Z,2026-09-25,MNQ=F,Micro E-mini Nasdaq-100 Index F,,,continuous,1S,SELL1,SELL,1,2026-09-23,2,31094.75,30767.25,CONSOLIDATION,1260,63,10,上涨趋势背驰(后笔红柱面积更小),0.514472,,,,,,data/futures_latest_signals/2026-09-25/charts/chan_MNQ_F.png
2026-09-25T01:46:42Z,2026-09-25,NQ=F,Nasdaq 100 Jun 26,,,continuous,1S,SELL1,SELL,1,2026-09-23,2,31094.75,30766.75,CONSOLIDATION,1260,65,10,上涨趋势背驰(后笔红柱面积更小),0.514485,,,,,,data/futures_latest_signals/2026-09-25/charts/chan_NQ_F.png
