scan_time_utc,recognized_date,symbol,short_name,exchange,full_exchange_name,contract_kind,signal,signal_type,side,class,signal_date,signal_bar_age,price,latest_close,trend,bars,bis,bi_zhongshus,reason,beichi_ratio,chart_path
2026-06-05T01:39:00Z,2026-06-04,513130.SS,恒生科技ETF(华泰柏瑞·跟踪恒生科技),,,other,1S,SELL1,SELL,1,2026-06-02,2,0.64200002,0.62,CONSOLIDATION,1210,87,13,上涨趋势背驰(后笔红柱面积更小),0.0425475,data/futures_latest_signals/2026-06-05/charts/chan_513130_SS.png
2026-06-05T01:39:00Z,2026-06-05,NKD=F,"Nikkei/USD Futures,Jun-2026",,,continuous,1S,SELL1,SELL,1,2026-06-03,2,68790,66085,CONSOLIDATION,1259,83,8,上涨趋势背驰(后笔红柱面积更小),0.170298,data/futures_latest_signals/2026-06-05/charts/chan_NKD_F.png
2026-06-05T01:39:00Z,2026-06-05,ZQ=F,"30 Day Federal Funds Futures,Au",,,continuous,1S,SELL1,SELL,1,2026-06-04,1,96.3825,96.360001,DOWN,1259,10,2,上涨趋势背驰(后笔红柱面积更小),0.729721,data/futures_latest_signals/2026-06-05/charts/chan_ZQ_F.png
