scan_time_utc,recognized_date,symbol,short_name,exchange,full_exchange_name,contract_kind,signal,signal_type,side,class,signal_date,signal_bar_age,price,latest_close,trend,bars,bis,bi_zhongshus,reason,beichi_ratio,ref_zs_idx,ref_zs_zd,ref_zs_zg,ref_zs_raw_start,ref_zs_raw_end,chart_path
2026-08-05T00:56:31Z,2026-08-03,512100.SS,中证1000ETF(南方·跟踪中证1000),,,other,2S,SELL2,SELL,2,2026-07-31,1,2.934,2.8670001,CONSOLIDATION,1210,66,11,一卖后首次反抽不破前高,,,,,,,data/futures_latest_signals/2026-08-05/charts/chan_512100_SS.png
2026-08-05T00:56:31Z,2026-08-05,6C=F,"Canadian Dollar Futures,Jun-202",,,continuous,3S,SELL3,SELL,3,2026-07-30,4,0.71515,0.71214998,CONSOLIDATION,1259,71,11,"向下跌破中枢后反抽不回中枢(ZS9, price<ZD=0.7275)",,9,0.72750002,0.73150003,1127,1228,data/futures_latest_signals/2026-08-05/charts/chan_6C_F.png
2026-08-05T00:56:31Z,2026-08-05,ETH=F,Ethereum Jun 26,,,continuous,2B,BUY2,BUY,2,2026-08-03,2,1830,1870.5,CONSOLIDATION,1262,77,13,一买后首次回抽不破前低,,,,,,,data/futures_latest_signals/2026-08-05/charts/chan_ETH_F.png
2026-08-05T00:56:31Z,2026-08-05,ZC=F,"Corn Futures,Jul-2026",,,continuous,2S,SELL2,SELL,2,2026-08-04,1,475.25,463.5,CONSOLIDATION,1256,73,12,一卖后首次反抽不破前高,,,,,,,data/futures_latest_signals/2026-08-05/charts/chan_ZC_F.png
