scan_time_utc,recognized_date,symbol,short_name,exchange,full_exchange_name,contract_kind,signal,signal_type,side,class,signal_date,signal_bar_age,price,latest_close,trend,bars,bis,bi_zhongshus,reason,beichi_ratio,ref_zs_idx,ref_zs_zd,ref_zs_zg,ref_zs_raw_start,ref_zs_raw_end,chart_path
2026-06-27T01:29:35Z,2026-06-26,6J=F,"Japanese Yen Futures,Jun-2026",,,continuous,1B,BUY1,BUY,1,2026-06-25,1,0.0061840001,0.0062215002,CONSOLIDATION,1259,63,10,下跌趋势背驰(后笔绿柱面积更小),0.626158,,,,,,data/futures_latest_signals/2026-06-27/charts/chan_6J_F.png
2026-06-27T01:29:35Z,2026-06-26,AMZN,Amazon 亚马逊,,,other,3B,BUY3,BUY,3,2026-06-25,1,225.55,232.69,CONSOLIDATION,1255,81,12,"向上突破中枢后回抽不回中枢(ZS10, price>ZG=220.5)",,10,199.14,220.47,1164,1218,data/futures_latest_signals/2026-06-27/charts/chan_AMZN.png
2026-06-27T01:29:35Z,2026-06-26,GC=F,Gold Aug 26,,,continuous,1B,BUY1,BUY,1,2026-06-24,2,3963.3,4103,CONSOLIDATION,1258,82,14,下跌趋势背驰(后笔绿柱面积更小),0.817118,,,,,,data/futures_latest_signals/2026-06-27/charts/chan_GC_F.png
2026-06-27T01:29:35Z,2026-06-26,KE=F,"KC HRW Wheat Futures,Jul-2026",,,continuous,1B,BUY1,BUY,1,2026-06-25,1,611.25,619,CONSOLIDATION,1256,83,10,下跌趋势背驰(后笔绿柱面积更小),0.0379328,,,,,,data/futures_latest_signals/2026-06-27/charts/chan_KE_F.png
2026-06-27T01:29:35Z,2026-06-26,M2K=F,Micro E-mini Russell 2000 Index,,,continuous,1S,SELL1,SELL,1,2026-06-25,1,3061.8,3024.1001,CONSOLIDATION,1259,85,13,上涨趋势背驰(后笔红柱面积更小),0.128578,,,,,,data/futures_latest_signals/2026-06-27/charts/chan_M2K_F.png
2026-06-27T01:29:35Z,2026-06-26,META,Meta,,,other,1B,BUY1,BUY,1,2026-06-25,1,540.17999,550.25,CONSOLIDATION,1255,76,12,下跌趋势背驰(后笔绿柱面积更小),0.610601,,,,,,data/futures_latest_signals/2026-06-27/charts/chan_META.png
2026-06-27T01:29:35Z,2026-06-26,RTY=F,E-mini Russell 2000 Index Futur,,,continuous,1S,SELL1,SELL,1,2026-06-25,1,3062.3999,3024.3999,CONSOLIDATION,1259,83,13,上涨趋势背驰(后笔红柱面积更小),0.128483,,,,,,data/futures_latest_signals/2026-06-27/charts/chan_RTY_F.png
2026-06-27T01:29:35Z,2026-06-27,BTC=F,"Bitcoin Futures,Jun-2026",,,continuous,1B,BUY1,BUY,1,2026-06-25,2,57960,60085,CONSOLIDATION,1263,73,11,下跌趋势背驰(后笔绿柱面积更小),-0,,,,,,data/futures_latest_signals/2026-06-27/charts/chan_BTC_F.png
