scan_time_utc,recognized_date,symbol,short_name,exchange,full_exchange_name,contract_kind,signal,signal_type,side,class,signal_date,signal_bar_age,price,latest_close,trend,bars,bis,bi_zhongshus,reason,beichi_ratio,ref_zs_idx,ref_zs_zd,ref_zs_zg,ref_zs_raw_start,ref_zs_raw_end,chart_path
2026-07-30T00:55:44Z,2026-07-29,CC=F,Cocoa Sep 26,,,continuous,3B,BUY3,BUY,3,2026-07-28,1,4992,5169,CONSOLIDATION,1257,100,13,"向上突破中枢后回抽不回中枢(ZS11, price>ZG=4199)",,11,3694,4199,1202,1233,data/futures_latest_signals/2026-07-30/charts/chan_CC_F.png
2026-07-30T00:55:44Z,2026-07-30,CNH=F,Standard-Size USD/Offshore RMB,,,continuous,3S,SELL3,SELL,3,2026-07-29,1,6.7494998,6.7399998,CONSOLIDATION,1208,73,14,"向下跌破中枢后反抽不回中枢(ZS12, price<ZD=6.922)",,12,6.9219999,6.9305,1075,1183,data/futures_latest_signals/2026-07-30/charts/chan_CNH_F.png
2026-07-30T00:55:44Z,2026-07-30,PA=F,Palladium Sep 26,,,continuous,2B,BUY2,BUY,2,2026-07-29,1,1261.5,1267.5,CONSOLIDATION,1258,111,16,一买后首次回抽不破前低,,,,,,,data/futures_latest_signals/2026-07-30/charts/chan_PA_F.png
2026-07-30T00:55:44Z,2026-07-30,ZQ=F,"30 Day Federal Funds Futures,Au",,,continuous,3B,BUY3,BUY,3,2026-07-29,1,96.285004,96.364998,DOWN,1260,9,2,"向上突破中枢后回抽不回中枢(ZS1, price>ZG=94.69)",,1,94.667503,94.690002,526,927,data/futures_latest_signals/2026-07-30/charts/chan_ZQ_F.png
