scan_time_utc,recognized_date,symbol,short_name,exchange,full_exchange_name,contract_kind,signal,signal_type,side,class,signal_date,signal_bar_age,price,latest_close,trend,bars,bis,bi_zhongshus,reason,beichi_ratio,ref_zs_idx,ref_zs_zd,ref_zs_zg,ref_zs_raw_start,ref_zs_raw_end,chart_path
2026-08-21T23:50:47Z,2026-08-21,6S=F,"Swiss Franc Futures,Jun-2026",,,continuous,3S,SELL3,SELL,3,2026-08-20,1,1.261,1.2513,CONSOLIDATION,1260,74,10,"向下跌破中枢后反抽不回中枢(ZS8, price<ZD=1.268)",,8,1.26775,1.28835,1114,1217,data/futures_latest_signals/2026-08-21/charts/chan_6S_F.png
2026-08-21T23:50:47Z,2026-08-21,AAPL,Apple 苹果,,,other,2S,SELL2,SELL,2,2026-08-20,1,320.28,309.35001,CONSOLIDATION,1255,80,12,一卖后首次反抽不破前高,,,,,,,data/futures_latest_signals/2026-08-21/charts/chan_AAPL.png
2026-08-21T23:50:47Z,2026-08-21,CT=F,Cotton Mar 26,,,continuous,1S,SELL1,SELL,1,2026-08-20,1,87.349998,88.599998,CONSOLIDATION,1258,78,9,上涨趋势背驰(后笔红柱面积更小),0.61222,,,,,,data/futures_latest_signals/2026-08-21/charts/chan_CT_F.png
